Doc. vente;Don. ordre;GrVd;Créé le;DébValid;Offre;Date doc.;TypDC;Valeur nette;Dev.;AgCom;Dat.lv.req;Date cde;NbRel;Dern. rel.;TDVt;Motif de la commande client/op;Mod. doc.;Prb;BlLi;Dat.garant;
1201001881;1211000;6;09.05.2016;00.00.0000;00.00.0000;09.05.2016;C;292,28;EUR;2;13.06.2016;03.05.2016;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1201001881;1211000;6;09.05.2016;00.00.0000;00.00.0000;09.05.2016;C;292,28;EUR;2;13.06.2016;03.05.2016;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1201000704;1210405;6;01.06.2015;00.00.0000;00.00.0000;01.06.2015;C;292,45;EUR;2;17.06.2015;29.05.2015;0;00.00.0000;ZCSD;;1205001062;100;;00.00.0000;0
1201000704;1210405;6;01.06.2015;00.00.0000;00.00.0000;01.06.2015;C;292,45;EUR;2;17.06.2015;29.05.2015;0;00.00.0000;ZCSD;;1205001062;100;;00.00.0000;0
1201001232;1211089;6;04.11.2015;00.00.0000;00.00.0000;04.11.2015;C;292,5;EUR;2;23.11.2015;03.11.2015;0;00.00.0000;ZCSD;;1205001912;100;;00.00.0000;0
1201001232;1211089;6;04.11.2015;00.00.0000;00.00.0000;04.11.2015;C;292,5;EUR;2;23.11.2015;03.11.2015;0;00.00.0000;ZCSD;;1205001912;100;;00.00.0000;0
1205001912;1211089;6;27.10.2015;27.10.2015;27.11.2015;27.10.2015;B;292,5;EUR;2;30.10.2015;27.10.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205001912;1211089;6;27.10.2015;27.10.2015;27.11.2015;27.10.2015;B;292,5;EUR;2;30.10.2015;27.10.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000940;1210340;6;30.03.2015;30.03.2015;30.04.2015;30.03.2015;B;293;EUR;2;21.04.2015;30.03.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205000940;1210340;6;30.03.2015;30.03.2015;30.04.2015;30.03.2015;B;293;EUR;2;21.04.2015;30.03.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002217;1211537;6;23.12.2015;23.12.2015;31.12.2015;23.12.2015;B;293,22;EUR;2;24.12.2015;23.12.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1205002217;1211537;6;23.12.2015;23.12.2015;31.12.2015;23.12.2015;B;293,22;EUR;2;24.12.2015;23.12.2015;0;00.00.0000;OF;Devis : Commandé;;70;;00.00.0000;0
1201000450;1210756;6;11.03.2015;00.00.0000;00.00.0000;11.03.2015;C;293,4;EUR;2;01.05.2015;11.03.2015;0;00.00.0000;ZCSD;;1205000842;100;;00.00.0000;0
1201000450;1210756;6;11.03.2015;00.00.0000;00.00.0000;11.03.2015;C;293,4;EUR;2;01.05.2015;11.03.2015;0;00.00.0000;ZCSD;;1205000842;100;;00.00.0000;0
1201001367;1210282;6;10.12.2015;00.00.0000;00.00.0000;10.12.2015;C;293,48;EUR;2;04.01.2016;03.12.2015;0;00.00.0000;ZCSD;;1205002102;100;;00.00.0000;0
1201001367;1210282;6;10.12.2015;00.00.0000;00.00.0000;10.12.2015;C;293,48;EUR;2;04.01.2016;03.12.2015;0;00.00.0000;ZCSD;;1205002102;100;;00.00.0000;0
1201002207;1211257;6;28.07.2016;00.00.0000;00.00.0000;28.07.2016;C;293,96;EUR;2;02.08.2016;28.07.2016;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1201002207;1211257;6;28.07.2016;00.00.0000;00.00.0000;28.07.2016;C;293,96;EUR;2;02.08.2016;28.07.2016;0;00.00.0000;ZCSD;;;100;;00.00.0000;0
1201001842;1211257;6;26.04.2016;00.00.0000;00.00.0000;26.04.2016;C;293,96;EUR;2;27.04.2016;25.04.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205002851;100;;00.00.0000;0
1201001842;1211257;6;26.04.2016;00.00.0000;00.00.0000;26.04.2016;C;293,96;EUR;2;27.04.2016;25.04.2016;0;00.00.0000;ZCSD;Devis : Commandé;1205002851;100;;00.00.0000;0
1205000958;1210754;6;31.03.2015;31.03.2015;30.04.2015;31.03.2015;B;294;EUR;2;24.04.2015;30.03.2015;0;00.00.0000;OF;Devis : Sans suite;;70;;00.00.0000;0
1205000958;1210754;6;31.03.2015;31.03.2015;30.04.2015;31.03.2015;B;294;EUR;2;24.04.2015;30.03.2015;0;00.00.0000;OF;Devis : Sans suite;;70;;00.00.0000;0
